                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61537,                 1.8046,                0.98511,                      1,                0.84214,                0.99196,                0.85081,                0.53433,                 2.4177,                0.92087,                0.00056,                0.00056,                0.00056
                      2,                0.62739,                 1.0139,                0.92917,                0.86563,                0.89199,                0.91403,                0.69689,                0.75876,                 1.7714,                 1.0237,              0.0011287,              0.0011287,              0.0011287
                      3,                0.69299,                 1.0248,                0.97869,                0.94295,                0.96923,                 0.9901,                0.81161,                0.74171,                 1.7881,                0.97854,              0.0016859,              0.0016859,              0.0016859
                      4,                0.71263,                 0.9703,                0.96794,                0.99209,                0.98462,                0.99485,                 0.8262,                  0.756,                 1.2773,                0.99516,              0.0019406,              0.0019406,              0.0019406
                      5,                 0.6941,                0.94886,                0.96013,                0.98301,                0.98462,                0.99425,                0.80623,                0.68285,                 1.1478,                0.96731,              0.0019208,              0.0019208,              0.0019208
                      6,                0.62265,                 0.8321,                0.94105,                0.97067,                0.96923,                0.99004,                0.85163,                0.62251,                0.83004,                0.95696,               0.001901,               0.001901,               0.001901
                      7,                0.60616,                0.73454,                 0.9262,                0.98241,                      1,                0.99394,                0.83028,                0.63451,                0.95103,                0.95377,              0.0018812,              0.0018812,              0.0018812
                      8,                0.59399,                0.70514,                0.94526,                0.97679,                      1,                0.99455,                0.83753,                0.64149,                0.95224,                0.96264,              0.0018614,              0.0018614,              0.0018614
                      9,                0.57614,                0.66805,                0.93162,                 0.9987,                      1,                  0.995,                0.84711,                0.57131,                0.72961,                0.95404,              0.0018416,              0.0018416,              0.0018416
                     10,                0.56635,                 0.6159,                0.92204,                0.99939,                      1,                  0.995,                0.85381,                 0.6125,                0.68526,                0.92982,              0.0018218,              0.0018218,              0.0018218
                     11,                0.58277,                 0.6182,                0.92497,                0.99854,                      1,                  0.995,                0.86365,                0.57454,                0.56763,                 0.9059,               0.001802,               0.001802,               0.001802
                     12,                 0.5534,                0.56727,                0.91685,                0.98208,                      1,                0.99364,                0.86793,                0.59795,                0.57867,                0.93315,              0.0017822,              0.0017822,              0.0017822
                     13,                0.59469,                0.55495,                0.92393,                0.99548,                      1,                  0.995,                0.85564,                 0.5723,                0.59842,                0.93564,              0.0017624,              0.0017624,              0.0017624
                     14,                0.56992,                0.51703,                0.94156,                0.99898,                      1,                  0.995,                0.88862,                 0.4428,                0.47526,                0.87752,              0.0017426,              0.0017426,              0.0017426
                     15,                0.52553,                 0.4905,                0.90994,                  0.999,                      1,                  0.995,                0.87734,                 0.5484,                0.46538,                0.89284,              0.0017228,              0.0017228,              0.0017228
                     16,                0.54739,                0.49589,                0.89825,                0.99894,                      1,                  0.995,                0.88395,                0.52073,                0.45839,                0.88921,               0.001703,               0.001703,               0.001703
                     17,                0.51304,                0.47772,                0.90884,                0.99913,                      1,                  0.995,                0.89656,                0.49582,                0.38245,                0.88909,              0.0016832,              0.0016832,              0.0016832
